"lon","lat","Ruído","N..Estações","Distância.min","mun"
-35.9005417273,-7.159773614,-71.2850373065,5,19375.873750996,"LAGOA SECA"
-35.9169698229,-6.4970849469,-73.5885703964,8,25260.2678033756,"CUITÉ"
-35.9123301608,-6.5376476168,-73.7630167376,8,25772.7207163998,"CUITÉ"
-35.9211172916,-6.4989289914,-100,0,100,"CUITÉ"
-35.9428376776,-7.2136729561,-71.1881433235,4,19160.9305560188,"CAMPINA GRANDE"
-35.9734707952,-6.5879347002,-70.3278852223,2,17354.1637813775,"CUITÉ"
-35.9164990119,-6.5346752076,-100,0,100,"CUITÉ"
-35.954039953,-6.5674596243,-100,0,100,"CUITÉ"
-35.922243624,-6.5259063306,-100,0,100,"CUITÉ"
-35.9603551573,-6.5450392122,-100,0,100,"CUITÉ"
-35.9005767445,-6.7964867289,-70.166823591,3,17035.3323275969,"ALGODÃO DE JANDAÍRA"
-35.9194222388,-7.1742225638,-70.8508827317,3,18431.1981135268,"PUXINANÃ"
-35.9044656362,-6.5627124807,-100,0,100,"CUITÉ"
-35.911927474,-6.657270335,-70.3127149802,2,17323.8805164521,"DAMIÃO"
-35.9737893446,-6.5503572472,-100,0,100,"CUITÉ"
-35.9582532546,-6.5410583058,-100,0,100,"CUITÉ"
-35.992107394,-6.5399696391,-70.7226123011,5,18161.0120160204,"CUITÉ"
-35.9318449247,-6.555261362,-100,0,100,"CUITÉ"
-35.9436575149,-7.1821165221,-70.0974670429,4,16899.8473905774,"PUXINANÃ"
-35.9368444391,-7.1981168337,-70.9637376779,4,18672.2354317521,"CAMPINA GRANDE"
-38.5508912026,-7.550755564,-70.2568110073,5,17212.7389034703,"CONCEIÇÃO"
-38.5711092314,-7.5047621468,-70.8357841092,5,18399.187118369,"CONCEIÇÃO"
-38.5765951171,-7.5488630608,-71.4890538071,5,19836.366375703,"CONCEIÇÃO"
-38.6651022324,-7.5778674169,-100,0,100,"CONCEIÇÃO"
-38.6418681513,-7.5355342585,-74.016191414,4,26534.994467395,"CONCEIÇÃO"
-38.5744607856,-7.4962914758,-70.999073945,5,18748.3532591404,"CONCEIÇÃO"
-38.6619108889,-7.5764564841,-75.0044635253,2,29732.5807453127,"CONCEIÇÃO"
-38.5882777113,-7.4741856055,-71.6530502365,7,20214.4506099651,"CONCEIÇÃO"
-38.5426906719,-7.5679670164,-70.2261983905,5,17152.1809709521,"CONCEIÇÃO"
-38.5268108694,-7.6107888697,-70.86474313,3,18460.6329432954,"SANTA INÊS"
-38.5733429947,-7.4701003548,-71.049837063,7,18858.2454436431,"CONCEIÇÃO"
-38.6580400539,-7.593270721,-75.0635314154,2,29935.4645086286,"SANTA INÊS"
-38.6952670908,-7.5962396723,-100,0,100,"SANTA INÊS"
-38.6149124025,-7.5359587395,-73.0025933989,4,23612.343944391,"CONCEIÇÃO"
-38.5666889327,-7.5742100492,-71.4868492557,3,19831.3323788315,"CONCEIÇÃO"
-38.6180441318,-7.488888448,-72.8385545319,4,23170.5934571843,"CONCEIÇÃO"
